GAME001,System,Start Game,2025-11-27T04:09:05,N/A,N/A,N/A,N/A,N/A
GAME001,System,Load File,2025-11-27T04:09:12,N/A,N/A,N/A,N/A,N/A
GAME001,System,Select Player Count,2025-11-27T04:09:19,null,0,2,N/A,0,
GAME001,john,Enter Player Name,2025-11-27T04:09:19,null,0,john,N/A,0,
GAME001,jeff,Enter Player Name,2025-11-27T04:09:19,null,0,jeff,N/A,0,
GAME001,john,Select Category,2025-11-27T04:09:22,Variables & Data Types,300,2,Correct,300,
GAME001,john,Select Question,2025-11-27T04:09:24,Variables & Data Types,300,2,Correct,300,
GAME001,john,Answer Question,2025-11-27T04:09:25,Variables & Data Types,300,2,Correct,300,
GAME001,jeff,Select Category,2025-11-27T04:09:28,Control Structures,300,do-while,Correct,300,
GAME001,jeff,Select Question,2025-11-27T04:09:29,Control Structures,300,do-while,Correct,300,
GAME001,jeff,Answer Question,2025-11-27T04:09:32,Control Structures,300,do-while,Correct,300,
GAME001,System,Generate Report,2025-11-27T04:09:37,N/A,N/A,N/A,N/A,N/A
GAME001,System,Generate Event Log,2025-11-27T04:09:37,N/A,N/A,N/A,N/A,N/A
GAME001,System,Exit Game,2025-11-27T04:09:37,N/A,N/A,N/A,N/A,N/A
